text,label
Patient reports severe headache and nausea.,Neurology
Blood sugar levels are high, consistent with diabetes.,Endocrinology
Experiencing chest pain and shortness of breath.,Cardiology
Skin rash noted on the arms and back.,Dermatology
Patient complains of joint pain and stiffness in the morning.,Rheumatology
Frequent urination and increased thirst observed.,Endocrinology
MRI shows signs of early-stage Alzheimer’s.,Neurology
Patient has been diagnosed with hypertension.,Cardiology
Signs of viral infection with fever and cough.,Infectious Disease
Complains of persistent lower back pain.,Orthopedics
